Part No,Lvl,Rev,State,MR,Part Status,Document,Check Out,Change,R,Description,Technical Spec,MES D. Rev,Qty,UOM,UIT,Supply Type,Designator,SVC Loc,SVC,Designator/Split Qty,Designator/Split Comments,Job Explanation,Switch,Auth,Site Qty,Qty Exception,Maker,Standard,Substitute For
0RJ0000C678,4,1.3,Release,,3,,,,B,"Resistor,Chip","MCR01MZPJ000 0OHM 5% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,8,EA,G,Assembly Pull,"R1030,R115,R117,R120,R604,R6800,R6815,R7001",,,1|1|1|1|1|1|1|1,|||||||,,,,8,N,"COWELL FASHION CO., LTD",Y,
0RJ0102D677,4,1,Release,,3,,,,B,"Resistor,Chip","MCR03EZPJ100 10OHM 5% 1/10W 1608 R/TP -  ROHM CO.,LTD.",,1,EA,G,Assembly Pull,R8094,,,1,,,,,1,N,"COWELL FASHION CO., LTD",Y,
0RJ0221C678,4,1,Release,,3,,,,B,"Resistor,Chip","RC0402JR_072R2L 2.2OHM 5% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,5,EA,D,Assembly Pull,"R2314,R4105,R4106,R4700,R4701",,,1|1|1|1|1,||||,,,,5,N,"COWELL FASHION CO., LTD",Y,
0RJ0222C678,4,1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPJ220 22OHM 5% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,1,EA,G,Assembly Pull,R9158,,,1,,,,,1,N,"COWELL FASHION CO., LTD",Y,
0RJ0331D677,4,1,Release,,3,,,,B,"Resistor,Chip","MCR03EZP5J3R3 3.3OHM 5% 1/10W 1608 R/TP -  ROHM CO.,LTD.",,4,EA,G,Assembly Pull,"R5302,R5303,R5304,R5305",,,1|1|1|1,|||,,,,4,N,"COWELL FASHION CO., LTD",Y,
0RJ0332C478,4,1.1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPF33R0 33OHM 1% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,1,EA,D,Assembly Pull,R914,,,1,,,,,1,N,"ROHM CO.,LTD.",Y,
0RJ0332C678,4,1.1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPJ330 33OHM 5% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,8,EA,G,Assembly Pull,"R924,R925,R931,R932,R933,R934,R935,R936",,,1|1|1|1|1|1|1|1,|||||||,,,,8,N,"COWELL FASHION CO., LTD",Y,
0RJ0391E472,4,1,Release,1,2,,,,B,"Resistor,Chip","MCR10EZHF3R90 3.9OHM 1% 1/8W 2012 R/TP -  ROHM CO.,LTD.",,2,EA,G,Assembly Pull,"R1704,R2103",,,1|1,|,,,,2,N,"COWELL FASHION CO., LTD",Y,
0RJ0472C678,4,1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPJ470 47OHM 5% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,5,EA,G,Assembly Pull,"R8010,R8011,R8013,R8015,R9160",,,1|1|1|1|1,||||,,,,5,N,"ROHM CO.,LTD.",Y,
0RJ0511D677,4,1,Release,,3,,,,B,"Resistor,Chip","MCR03EZPJ5R1 5.1OHM 5% 1/10W 1608 R/TP -  ROHM CO.,LTD.",,3,EA,G,Assembly Pull,"R8001,R8019,R8099",,,1|1|1,||,,,,3,N,"COWELL FASHION CO., LTD",Y,
0RJ0512C678,4,1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPJ510 51OHM 5% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,6,EA,D,Assembly Pull,"R202,R203,R231,R232,R233,R234",,,1|1|1|1|1|1,|||||,,,,6,N,"ROHM CO.,LTD.",Y,
0RJ0561C678,4,1,Release,,2,,,,B,"Resistor,Chip","MCR01MZPJ5R6 5.6OHM 5% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,16,EA,D,Assembly Pull,"R8002,R8003,R8004,R8007,R8068,R8069,R8070,R8071,R8072,R8073,R8074,R8075,R8076,R8077,R8078,R8079",,,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,|||||||||||||||,,,,16,N,"ROHM CO.,LTD.",Y,
0RJ0561D677,4,1,Release,,3,,,,B,"Resistor,Chip","MCR03EZPJ5R6 5.6OHM 5% 1/10W 1608 R/TP -  ROHM CO.,LTD.",,12,EA,G,Assembly Pull,"R8036,R8037,R8040,R8041,R8050,R8051,R8052,R8053,R8058,R8060,R8062,R8064",,,1|1|1|1|1|1|1|1|1|1|1|1,|||||||||||,,,,12,N,"COWELL FASHION CO., LTD",Y,
0RJ0752D477,4,1,Release,,3,,,,B,"Resistor,Chip","MCR03EZPFX75R0 75OHM 1% 1/10W 1608 R/TP -  ROHM CO.,LTD.",,4,EA,G,Assembly Pull,"R5001,R5002,R5003,R5004",,,1|1|1|1,|||,,,,4,N,"COWELL FASHION CO., LTD",Y,
0RJ1000C478,4,1.3,Release,,3,,,,B,"Resistor,Chip","MCR01MZPF1000 100OHM 1% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,2,EA,D,Assembly Pull,"R1031,R1032",,,1|1,|,,,,2,N,"COWELL FASHION CO., LTD",Y,
0RJ1000C678,4,1.3,Release,,3,,,,B,"Resistor,Chip","MCR01MZPJ101 100OHM 5% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,30,EA,G,Assembly Pull,"R1006,R1008,R1026,R104,R127,R128,R129,R1505,R2102,R246,R2504,R3303,R3304,R3313,R3322,R3335,R3336,R4113,R4117,R5314,R627,R628,R629,R8090,R902,R904,R915,R9159,R9161,R9703",,,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,|||||||||||||||||||||||||||||,,,,30,N,"COWELL FASHION CO., LTD",Y,
0RJ1001C678,4,1.2,Release,,3,,,,B,"Resistor,Chip","MCR01MZPJ102 1KOHM 5% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,9,EA,G,Assembly Pull,"R1028,R2318,R235,R3353,R3357,R3361,R6805,R803,R8092",,,1|1|1|1|1|1|1|1|1,||||||||,,,,9,N,"COWELL FASHION CO., LTD",Y,
0RJ1001E478,4,1.1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPF1001 1KOHM 1% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,2,EA,G,Assembly Pull,"R402,R403",,,1|1,|,,,,2,N,"ROHM CO.,LTD.",Y,
