"Designator","Part Number"
"R3283",""
"R3284",""
"R3287",""
"R3288",""
"R3289",""
"R3290",""
"R3291",""
"R3292",""
"R3293",""
"R3294",""
"R3295",""
"R3296",""
"R3297",""
"R3298",""
"R3299",""
"R3300",""
"R3301",""
"R3302",""
"R3303",""
"R3304",""
"R3305",""
"R3306",""
"R3307",""
"R3308",""
"R3309",""
"R3310",""
"R3311",""
"R3312",""
"R3313",""
"R3314",""
"R3315",""
"R3316",""
"R3317",""
"R3318",""
"R3319",""
"R332",""
"R335",""
"R336",""
"R3363",""
"R353",""
"R354",""
"R355",""
"R356",""
"R357",""
"R362",""
"R363",""
"R364",""
"R365",""
"R377",""
"R378",""
"R389",""
"R390",""
"R392",""
"R393",""
"R394",""
"R397",""
"R398",""
"R399",""
"R400",""
"R401",""
"R402",""
"R403",""
"R404",""
"R405",""
"R406",""
"R407",""
"R408",""
"R409",""
"R410",""
"R411",""
"R412",""
"R4121",""
"R4122",""
"R413",""
"R414",""
"R415",""
"R416",""
"R4168",""
"R4169",""
"R417",""
"R4170",""
"R4171",""
"R418",""
"R4188",""
"R4189",""
"R419",""
"R4190",""
"R4191",""
"R420",""
"R4203","0RJ0221C678"
"R4204","0RJ0221C678"
"R421",""
"R422",""
"R423",""
"R424",""
"R425",""
"R426",""
"R501",""
"R5013",""
"R5014",""
"R5015",""
"R5016",""
"R502",""
"R503",""
"R5038",""
"R504",""
"R5042",""
"R5048",""
"R505",""
"R5052",""
"R5055",""
"R5056",""
"R5060",""
"R5061",""
"R5067",""
"R5068",""
"R508",""
"R509",""
"R5093",""
"R5094",""
"R5095",""
"R5096",""
"R5097",""
"R5098",""
"R5099",""
"R510",""
"R5100",""
"R5101",""
"R5102",""
"R5103",""
"R5104",""
"R5105",""
"R5106",""
"R511",""
"R512",""
"R515",""
"R516",""
"R517",""
"R518",""
"R519",""
"R520",""
"R5300",""
"R5301",""
"R5302",""
"R5303",""
"R5304",""
"R5305",""
"R5306",""
"R5307",""
"R5308",""
"R5309",""
"R5310",""
"R5311",""
"R5315",""
"R5316",""
"R5317",""
"R5557",""
"R600",""
"R603",""
"R608",""
"R6100",""
"R6101",""
"R6102",""
"R6103",""
"R6104",""
"R6105",""
"R6106",""
"R6107",""
"R6108",""
"R6109",""
"R6110",""
"R6111",""
"R6112",""
"R6113",""
"R6114",""
"R6115",""
"R6116",""
"R6117",""
"R6118",""
"R6119",""
"R7001",""
"R7002",""
"R7003",""
"R7006",""
"R701",""
"R7010",""
"R7011",""
"R702",""
"R7020",""
"R7021",""
"R703",""
"R704",""
"R705",""
"R706",""
"R707",""
"R708",""
"R709",""
"R710",""
"R7102",""
"R7104",""
"R7105",""
"R7106",""
"R7107",""
"R7109",""
"R711",""
"R7110",""
"R712",""
"R713",""
"R714",""
"R715",""
"R716",""
"R717",""
"R718",""
"R719",""
"R720",""
"R7201",""
"R7203",""
"R721",""
"R722",""
"R723",""
"R724",""
"R725",""
"R726",""
"R731",""
"R7667",""
"R7668",""
"R7669",""
"R7674",""
"R7675",""
"R7676",""
"R7677",""
"R7688",""
"R7690",""
"R7691",""
"R7692",""
"R7693",""
"R7694",""
"R7695",""
"R7696",""
"R7697",""
"R7698",""
"R7699",""
"R7700",""
"R7701",""
"R7702",""
"R7703",""
"R7704",""
"R8800",""
"R8801",""
"R8802",""
"R900",""
"R901",""
"R9032",""
"R9033",""
"R9034",""
"R9035",""
"R9036",""
"R9037",""
"R9038",""
"R912",""
"R913",""
"R914",""
"R915",""
"R916",""
"R917",""
"R918",""
"R919",""
"R920",""
"R921",""
"R922",""
"R923",""
"R924",""
"R925",""
"R926",""
"R927",""
"R928",""
"R929",""
"R930",""
"R931",""
"R932",""
"R933",""
"R934",""
"R935",""
"R936",""
"R937",""
"R938",""
"R939",""
"R940",""
"R941",""
"R942",""
"R943",""
"R944",""
"R945",""
"R946",""
"R947",""
"R948",""
